run_id,context.trace_id,context.span_id,parent_id,name,span_kind,span_type,node,start_time,end_time,latency_ms,tokens_in,tokens_out,cost_usd,status_code
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,d2d74c04507b33d3,,triage_claim,CHAIN,end_to_end,,2026-09-19 13:13:47.680753+00:00,2026-09-19 13:14:20.197789+00:00,32517.035999999996,0.0,0.0,0.0,UNSET
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,91f7591b7b612601,d2d74c04507b33d3,LangGraph,CHAIN,other,,2026-09-19 13:13:47.682784+00:00,2026-09-19 13:14:20.195794+00:00,32513.010000000002,0.0,0.0,0.0,OK
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,684339c21b0675b4,91f7591b7b612601,input_guard,CHAIN,acting,input_guard,2026-09-19 13:13:47.704976+00:00,2026-09-19 13:13:55.204191+00:00,7499.215,0.0,0.0,0.0,OK
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,4146e1b8191f1b9f,684339c21b0675b4,route_from_input_guard,CHAIN,other,input_guard,2026-09-19 13:13:55.200133+00:00,2026-09-19 13:13:55.201626+00:00,1.4929999999999999,0.0,0.0,0.0,OK
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,2c128afc2bf8ce2c,91f7591b7b612601,ingest,CHAIN,acting,ingest,2026-09-19 13:13:55.206327+00:00,2026-09-19 13:14:03.548731+00:00,8342.404,0.0,0.0,0.0,OK
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,37ebfa8c62634821,2c128afc2bf8ce2c,route_from_ingest,CHAIN,other,ingest,2026-09-19 13:14:03.547226+00:00,2026-09-19 13:14:03.547226+00:00,0.0,0.0,0.0,0.0,OK
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,27d89bd249708138,91f7591b7b612601,supervisor,CHAIN,acting,supervisor,2026-09-19 13:14:03.551278+00:00,2026-09-19 13:14:05.336557+00:00,1785.279,0.0,0.0,0.0,OK
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,150ef4bd643a0269,27d89bd249708138,RunnableSequence,CHAIN,other,supervisor,2026-09-19 13:14:04.493121+00:00,2026-09-19 13:14:05.332300+00:00,839.179,0.0,0.0,0.0,OK
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,5838dc83f681bbf1,150ef4bd643a0269,ChatGoogleGenerativeAI,LLM,thinking,supervisor,2026-09-19 13:14:04.495175+00:00,2026-09-19 13:14:05.327604+00:00,832.429,569.0,63.0,0.00032819999999999995,OK
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,2d4170cfd17fe192,150ef4bd643a0269,PydanticOutputParser,CHAIN,other,supervisor,2026-09-19 13:14:05.328608+00:00,2026-09-19 13:14:05.331202+00:00,2.594,0.0,0.0,0.0,OK
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,ec34056e7c53d56e,27d89bd249708138,route_from_supervisor,CHAIN,other,supervisor,2026-09-19 13:14:05.333476+00:00,2026-09-19 13:14:05.335553+00:00,2.077,0.0,0.0,0.0,OK
run-28184ad47492,20996bbd9e5680a9d9f6c41155d22d82,001e7e49621ef994,91f7591b7b612601,classifier,CHAIN,acting,classifier,2026-09-19 13:14:05.338132+00:00,2026-09-19 13:14:10.306029+00:00,4967.897,0.0,0.0,0.0,OK
